"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPALPP1",2.32032070291947e-47,0.348550584576205,0.264,0.802,4.19629999122985e-43,"8","GPALPP1"
"CDK5R12",2.4115049082223e-47,0.344682690821555,0.069,0.407,4.36120662652003e-43,"8","CDK5R1"
"TMEM134",2.48383735859178e-47,0.429496314672568,0.236,0.743,4.49201986301324e-43,"8","TMEM134"
"SLC19A21",2.56135327548742e-47,0.683054932434419,0.099,0.465,4.63220739871901e-43,"8","SLC19A2"
"FBXO33",2.5991641300615e-47,0.550115657075498,0.162,0.589,4.70058832921622e-43,"8","FBXO33"
"BCL9",2.68781146036847e-47,0.659830229293444,0.12,0.506,4.86090702607638e-43,"8","BCL9"
"MCRIP11",2.95399423590466e-47,0.557991944585963,0.215,0.695,5.34229857563359e-43,"8","MCRIP1"
"TMCC11",2.96017768952981e-47,0.36282186464175,0.091,0.449,5.35348135151467e-43,"8","TMCC1"
"ZNF6131",3.15651885735853e-47,0.288835837707108,0.072,0.413,5.7085643535329e-43,"8","ZNF613"
"CEP41",3.34345236149461e-47,0.341478311084402,0.072,0.412,6.046633595763e-43,"8","CEP41"
"DENND4B2",3.35813814212641e-47,0.327539408015399,0.258,0.782,6.07319283003562e-43,"8","DENND4B"
"SPHK2",3.63218232874718e-47,0.547415418328248,0.096,0.458,6.56880174153927e-43,"8","SPHK2"
"NEU11",4.15135695308132e-47,0.307818681334328,0.231,0.732,7.50772904964757e-43,"8","NEU1"
"FBP11",4.17046681459769e-47,2.2589459768451,0.652,0.709,7.54228923419993e-43,"8","FBP1"
"ATP7A1",4.482771108953e-47,0.398772696627341,0.133,0.53,8.1070915505415e-43,"8","ATP7A"
"ANKS3",4.49203849172252e-47,0.726619399508684,0.168,0.605,8.12385161228018e-43,"8","ANKS3"
"TUBB2A",4.67169356447823e-47,0.426775519736928,0.118,0.499,8.44875781135887e-43,"8","TUBB2A"
"DOLK",4.82347989558276e-47,0.708951676592194,0.093,0.452,8.72326339116142e-43,"8","DOLK"
"FAHD12",4.94015946292117e-47,0.473478709538616,0.133,0.532,8.93427838869294e-43,"8","FAHD1"
"PRXL2B2",5.08405335997735e-47,0.508168259116198,0.15,0.566,9.19451050151904e-43,"8","PRXL2B"
"HIST1H2AG2",5.24712290694631e-47,0.4044243518791,0.094,0.454,9.48942177721241e-43,"8","HIST1H2AG"
"ZFP643",5.5920682123212e-47,0.332914745470164,0.236,0.737,1.01132553619829e-42,"8","ZFP64"
"PLD2",6.14461246755194e-47,0.383236352907965,0.108,0.479,1.11125316475677e-42,"8","PLD2"
"C14orf28",6.71421864072075e-47,0.313428326257288,0.084,0.433,1.21426644117435e-42,"8","C14orf28"
"ZNF527",6.75100908965967e-47,0.636363343854173,0.096,0.458,1.22091999386495e-42,"8","ZNF527"
"UBXN81",6.88093849916585e-47,0.652530890873896,0.088,0.441,1.24441772757414e-42,"8","UBXN8"
"TMEM1021",7.06668551302895e-47,0.691472414113561,0.141,0.549,1.27801007503128e-42,"8","TMEM102"
"GIMAP21",9.39864965286693e-47,0.571893840943469,0.199,0.663,1.69974578972098e-42,"8","GIMAP2"
"NR6A13",9.41180097269126e-47,0.604748819645001,0.084,0.434,1.70212420591121e-42,"8","NR6A1"
"LAMP11",1.01000460394088e-46,0.941570917206823,0.822,0.992,1.82659332622708e-42,"8","LAMP1"
"ZNF8391",1.04627569099633e-46,0.333317317859024,0.088,0.439,1.89218958716687e-42,"8","ZNF839"
"ZDHHC81",1.09112870142357e-46,0.354692311968769,0.202,0.665,1.97330625652452e-42,"8","ZDHHC8"
"ZNF174",1.10743045361916e-46,0.751056692082711,0.118,0.5,2.00278797537026e-42,"8","ZNF174"
"ZSCAN21",1.28414101836582e-46,0.805386722555613,0.197,0.662,2.32236903171458e-42,"8","ZSCAN21"
